strategy_key,model_key,split,threshold,cost_per_trade,days,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,exposure,turnover,gross_total_return,gross_annualized_return,gross_sharpe_ratio
buy_and_hold,buy_and_hold,validation,,0.0001,505.0,0.40227808288753386,0.20351695304446502,0.2624556220019798,0.775433772353826,-0.3490274819626066,0.5762376237623762,1.0,0.0019801980198019802,0.4024193638991953,0.20356685403456404,0.7756285271273422
cash,cash,validation,,0.0001,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
previous_day_direction,previous_day_direction,validation,,0.0001,505.0,-0.13177680061907504,-0.05704414465769243,0.16161163700357734,-0.35297052684658925,-0.3084519096550731,0.403960396039604,0.5669966996699669,0.5227722772277228,-0.10853024569331393,-0.043870283271553866,-0.2715243665432272
price_above_ema_20,price_above_ema_20,validation,,0.0001,505.0,-0.6414318365789822,-0.49609483397802684,0.1706459103212249,-2.907159234253988,-0.6488160109936436,0.18217821782178217,0.3254125412541254,0.13795379537953795,-0.6389146392918325,-0.4926183983344625,-2.887440024746137
positive_20d_momentum,positive_20d_momentum,validation,,0.0001,505.0,0.23773926902256393,0.11488088133688809,0.12948532911265037,0.8872115638439887,-0.13358183656679046,0.4871287128712871,0.7148514851485148,0.09174917491749174,0.24348935970073793,0.11719296054480888,0.9051602296311771
buy_and_hold,buy_and_hold,test,,0.0001,448.0,-0.10135072379473886,-0.04105508234774446,0.1953264331563014,-0.2101870273486842,-0.25485821158986055,0.46651785714285715,1.0,0.002232142857142857,-0.10126082060271813,-0.04099883234774447,-0.2098991138977687
cash,cash,test,,0.0001,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
previous_day_direction,previous_day_direction,test,,0.0001,448.0,-0.07291047384649096,-0.034624027756809776,0.12601771019053365,-0.27475525229318687,-0.14703838805479041,0.29910714285714285,0.49032738095238093,0.48288690476190477,-0.052640248276468626,-0.0224552777568098,-0.1781391092221823
price_above_ema_20,price_above_ema_20,test,,0.0001,448.0,-0.6062863757987864,-0.51508899565756,0.13138742597372255,-3.920382729475023,-0.6090486977368199,0.234375,0.5171130952380952,0.12351190476190475,-0.604100366025743,-0.5119764956575599,-3.8956920213540824
positive_20d_momentum,positive_20d_momentum,test,,0.0001,448.0,-0.053443465457849615,-0.025453462548376115,0.10436190239121036,-0.24389611501102604,-0.14501116123522162,0.28348214285714285,0.478422619047619,0.0788690476190476,-0.05009416762972174,-0.023465962548376126,-0.22483227916399737
log_reg_long_cash,log_reg,validation_threshold_selection,0.55,0.0001,505.0,5.973716480188933,0.9807587128583024,0.1416655427515787,6.923057603203747,-0.02415020708986171,0.5504950495049505,0.5755775577557755,0.2534653465346534,6.063243869681666,0.9871460395909757,6.969059176283446
log_reg_long_cash,log_reg,validation,0.55,0.0001,505.0,6.370873206580182,1.0085592383508286,0.14210252758116623,7.097405341891325,-0.02415020708986182,0.5504950495049505,0.5148514851485149,0.297029702970297,6.481837554752473,1.01604438686568,7.150326638595961
log_reg_long_cash,log_reg,test,0.55,0.0001,448.0,2.9923683918762745,0.7861881732806438,0.11278106500624593,6.970923472278826,-0.02151112674466693,0.40848214285714285,0.412202380952381,0.28124999999999994,3.042854072942025,0.7932756732806439,7.035367026017058
random_forest_long_cash,random_forest,validation_threshold_selection,0.6,0.0001,505.0,4.535414820476217,0.8664102601130067,0.15071613085025956,5.748623290852709,-0.06242187654084774,0.48118811881188117,0.44356435643564357,0.2481848184818482,4.604988428537284,0.8726645175387492,5.790012053859935
random_forest_long_cash,random_forest,validation,0.6,0.0001,505.0,8.07055130436371,1.1118811588332633,0.13750723358109765,8.08598304159402,-0.006726505292981022,0.5485148514851486,0.41848184818481843,0.363036303630363,8.23737828019247,1.1210296736847485,8.146071120934224
random_forest_long_cash,random_forest,test,0.6,0.0001,448.0,1.9584999752423533,0.616668906891318,0.10842842261063836,5.687336327908676,-0.022438276793810497,0.32589285714285715,0.3482142857142857,0.19642857142857142,1.9845788989180972,0.6216189068913179,5.732296074399178
hist_gradient_boosting_long_cash,hist_gradient_boosting,validation_threshold_selection,0.5,0.0001,505.0,5.422483415550694,0.9412302258921824,0.15314495530339942,6.146008688483972,-0.06242187654084774,0.5623762376237624,0.5656765676567655,0.25610561056105613,5.5058415927474496,0.947684087278321,6.189427763790777
hist_gradient_boosting_long_cash,hist_gradient_boosting,validation,0.5,0.0001,505.0,11.090007136321475,1.2588658154526964,0.15816367980821067,7.959259780622185,-0.01038998441036254,0.6118811881188119,0.5821782178217821,0.37755775577557754,11.32139506019166,1.2683802708982408,8.016708474419081
hist_gradient_boosting_long_cash,hist_gradient_boosting,test,0.5,0.0001,448.0,2.5031679328241117,0.7136717417596864,0.1232219528343197,5.791758086477225,-0.02335072201690691,0.42857142857142855,0.5565476190476191,0.2857142857142857,2.548250733004562,0.7208717417596865,5.8552092695066635
